"2024-12-04 10:39:02","Bitcoin","95786.3984375"
"2024-12-04 10:39:59","Bitcoin","95786"
"2024-12-04 10:40:02","Bitcoin","95786"
"2024-12-04 10:41:02","Bitcoin","95781.3984375"
"2024-12-04 10:42:02","Bitcoin","95700.1015625"
"2024-12-04 10:43:02","Bitcoin","95700.1015625"
"2024-12-04 10:44:03","Bitcoin","95688"
"2024-12-04 10:45:02","Bitcoin","95681.8984375"
"2024-12-04 10:51:03","Bitcoin","95716.796875"
"2024-12-04 10:52:02","Bitcoin","95781"
"2024-12-04 10:53:02","Bitcoin","95787.1015625"
"2024-12-04 10:54:03","Bitcoin","95788.203125"
"2024-12-04 10:55:02","Bitcoin","95830"
"2024-12-04 10:56:02","Bitcoin","95830"
"2024-12-04 14:55:03","Bitcoin","96654"
"2024-12-04 14:56:02","Bitcoin","96654.1015625"
"2024-12-04 14:57:02","Bitcoin","96618"
"2024-12-04 14:58:02","Bitcoin","96576.796875"
"2024-12-04 14:59:02","Bitcoin","96576.8984375"
"2024-12-04 15:00:02","Bitcoin","96576.796875"
"2024-12-04 15:01:02","Bitcoin","96576.8984375"
"2024-12-04 15:02:02","Bitcoin","96630.703125"
"2024-12-04 15:03:02","Bitcoin","96630.703125"
"2024-12-04 15:04:02","Bitcoin","96576.796875"
"2024-12-04 15:05:02","Bitcoin","96543.3984375"
"2024-12-04 15:06:02","Bitcoin","96540.203125"
"2024-12-04 15:07:02","Bitcoin","96540.296875"
"2024-12-04 15:08:02","Bitcoin","96540.1015625"
"2024-12-04 15:09:02","Bitcoin","96538.3984375"
"2024-12-04 15:10:02","Bitcoin","96535.1015625"
"2024-12-04 15:11:01","Bitcoin","96535.1015625"
"2024-12-04 15:12:02","Bitcoin","96528.3984375"
"2024-12-04 15:13:02","Bitcoin","96528.3984375"
"2024-12-04 15:14:02","Bitcoin","96528.3984375"
"2024-12-04 15:15:02","Bitcoin","96500"
"2024-12-04 15:16:02","Bitcoin","96528.296875"
"2024-12-04 15:17:02","Bitcoin","96500"
"2024-12-04 15:18:02","Bitcoin","96528.1015625"
"2024-12-04 15:19:02","Bitcoin","96528.1015625"
"2024-12-04 15:20:02","Bitcoin","96600"
"2024-12-04 15:21:02","Bitcoin","96599.8984375"
"2024-12-04 15:22:02","Bitcoin","96565.296875"
"2024-12-04 15:23:02","Bitcoin","96528.3984375"
"2024-12-04 15:24:02","Bitcoin","96559"
"2024-12-04 15:25:02","Bitcoin","96558.8984375"
"2024-12-04 15:26:02","Bitcoin","96558.796875"
"2024-12-04 15:27:02","Bitcoin","96558.796875"
"2024-12-04 15:28:02","Bitcoin","96558.796875"
"2024-12-04 15:29:02","Bitcoin","96558.8984375"
"2024-12-04 15:30:02","Bitcoin","96558.8984375"
